S No.,Reco Full,Reco Datetime,Reco Provider,Reco For,Symbol,Target Price,Action,Buy Date,Buy Price,Sell Date,Sell Price,Status
1,Buy Tata Consultancy Services; target of Rs 4350: Anand Rathi ,2022-04-14 20:43:00,Anand Rathi,Tata Consultancy Services,TCS,4350.0,Buy,,,,,Not Attempted
2,Accumulate Infosys; target of Rs 1899: Prabhudas Lilladher ,2022-04-14 13:42:00,Prabhudas Lilladher,Infosys,INFY,1899.0,Accumulate,,,,,Not Attempted
3,Buy Infosys; target of Rs 1970: Emkay Global Financial ,2022-04-14 11:05:00,Emkay Global Financial,Infosys,INFY,1970.0,Buy,,,,,Not Attempted
4,Buy Infosys; target of Rs 2000: Motilal Oswal ,2022-04-14 09:03:00,Motilal Oswal,Infosys,INFY,2000.0,Buy,,,,,Not Attempted
5,Buy Infosys: target of Rs 2150: Sharekhan ,2022-04-14 08:35:00,Sharekhan,Infosys,INFY,2150.0,Buy,,,,,Not Attempted
6,Buy GHCL; target of Rs 898: Arihant Capital ,2022-04-13 15:16:00,Arihant Capital,GHCL,GHCL,898.0,Buy,2022-04-13,554.05,,,Open
7,Buy NMDC; target of Rs 220 : Motilal Oswal ,2022-04-13 09:10:00,Motilal Oswal,NMDC,NMDC,220.0,Buy,2022-04-13,169.7,,,Open
8,Buy IIFL Wealth Management; target of Rs 2200 : Motilal Oswal ,2022-04-13 09:02:00,Motilal Oswal,IIFL Wealth Management,IIFLWAM,2200.0,Buy,2022-04-13,1802.95,,,Open
9,Buy Dr. Reddy’s Laboratories: target of Rs 5550: Sharekhan ,2022-04-12 22:25:00,Sharekhan,Dr. Reddy’s Laboratories,DRREDDY,5550.0,Buy,2022-04-13,4351.0,,,Open
10,Buy Welspun India: target of Rs 130: Sharekhan ,2022-04-12 22:18:00,Sharekhan,Welspun India,WELSPUNIND,130.0,Buy,2022-04-13,95.3,,,Open
11,Buy Tata Consultancy Services: target of Rs 4600: Sharekhan ,2022-04-12 22:11:00,Sharekhan,Tata Consultancy Services,TCS,4600.0,Buy,2022-04-13,3707.0,,,Open
12,Buy NTPC: target of Rs 196: ICICI Securities ,2022-04-12 21:47:00,ICICI Securities,NTPC,NTPC,196.0,Buy,2022-04-13,153.05,,,Open
13,Accumulate Tata Consultancy Services; target of Rs 4256: KR Choksey ,2022-04-12 18:58:00,KR Choksey,Tata Consultancy Services,TCS,4256.0,Accumulate,2022-04-13,3707.0,,,Open
14,Hold Tata Consultancy Services: target of Rs 3519: ICICI Securities ,2022-04-12 18:02:00,ICICI Securities,Tata Consultancy Services,TCS,3519.0,Hold,,,,,Not Attempted
15,Buy Tata Consultancy Services ; target of Rs 4336: YES Securities ,2022-04-12 13:29:00,YES Securities,Tata Consultancy Services,TCS,4336.0,Buy,2022-04-12,3683.0,,,Open
16,Buy TCS; target of Rs 4240 : Motilal Oswal ,2022-04-12 13:22:00,Motilal Oswal,TCS,TCS,4240.0,Buy,2022-04-12,3683.0,,,Open
17,Buy Tata Consultancy Services; target of Rs 4221: Prabhudas Lilladher ,2022-04-12 13:10:00,Prabhudas Lilladher,Tata Consultancy Services,TCS,4221.0,Buy,2022-04-12,3683.0,,,Open
18,Buy VA Tech Wabag ; target of Rs 391: YES Securities ,2022-04-11 15:17:00,YES Securities,VA Tech Wabag,WABAG,391.0,Buy,2022-04-11,306.0,,,Open
19,Buy PCBL; target of Rs 160: ICICI Direct ,2022-04-11 12:20:00,ICICI Direct,PCBL,PCBL,160.0,Buy,,,,,Not Attempted
20,Hold Solar Industries: target of Rs 2850: ICICI Securities ,2022-04-11 10:36:00,ICICI Securities,Solar Industries,SOLARINDS,2850.0,Hold,,,,,Not Attempted
21,Buy Sumitomo Chemical India: target of Rs 500: Sharekhan ,2022-04-09 08:17:00,Sharekhan,Sumitomo Chemical India,SUMICHEM,500.0,Buy,2022-04-11,429.0,,,Open
22,Buy Zee Entertainment Enterprises: target of Rs 400: Sharekhan ,2022-04-08 17:49:00,Sharekhan,Zee Entertainment Enterprises,ZEEL,400.0,Buy,2022-04-11,287.4,,,Open
23,Buy Titan Company: target of Rs 2900: Sharekhan ,2022-04-08 17:45:00,Sharekhan,Titan Company,TITAN,2900.0,Buy,2022-04-11,2503.0,,,Open
24,Buy Godrej Consumer Products: target of Rs 959: Sharekhan ,2022-04-08 17:41:00,Sharekhan,Godrej Consumer Products,GODREJCP,959.0,Buy,2022-04-11,812.9,,,Open
25,Buy Zydus Lifesciences: target of Rs 480: Sharekhan ,2022-04-08 17:38:00,Sharekhan,Zydus Lifesciences,ZYDUSLIFE,480.0,Buy,2022-04-11,370.1,,,Open
26,Buy Sobha: target of Rs 902: ICICI Securities ,2022-04-08 16:15:00,ICICI Securities,Sobha,SOBHA,902.0,Buy,2022-04-11,709.0,,,Open
27,Buy Gujarat Fluorochemicals: target of Rs 3356: ICICI Securities ,2022-04-08 16:07:00,ICICI Securities,Gujarat Fluorochemicals,GUJGASLTD,3356.0,Buy,,,,,Not Attempted
28,Buy EPL; target of Rs 250 : Motilal Oswal ,2022-04-08 13:52:00,Motilal Oswal,EPL,EPL,250.0,Buy,2022-04-08,184.35,,,Open
29,Buy VRL Logistics; target of Rs 665 : Motilal Oswal ,2022-04-07 18:08:00,Motilal Oswal,VRL Logistics,VRLLOG,665.0,Buy,2022-04-08,499.0,,,Open
30,Buy Titan Company; target of Rs 2754: Prabhudas Lilladher ,2022-04-07 14:28:00,Prabhudas Lilladher,Titan Company,TITAN,2754.0,Buy,2022-04-07,2502.3,,,Open
31,Buy Dalmia Bharat: target of Rs 2300: Sharekhan ,2022-04-07 14:12:00,Sharekhan,Dalmia Bharat,DALMIASUG,2300.0,Buy,,,,,Not Attempted
32,Buy Macrotech Developers: target of Rs 1348: ICICI Securities ,2022-04-07 11:43:00,ICICI Securities,Macrotech Developers,LODHA,1348.0,Buy,2022-04-07,1199.0,,,Open
33,Buy The Phoenix Mills: target of Rs 1336: ICICI Securities ,2022-04-07 11:38:00,ICICI Securities,The Phoenix Mills,PHOENIXLTD,1336.0,Buy,2022-04-07,1055.0,,,Open
34,Buy Tatva Chintan Pharma Chem: target of Rs 3000: ICICI Securities ,2022-04-06 17:15:00,ICICI Securities,Tatva Chintan Pharma Chem,TATVA,3000.0,Buy,2022-04-07,2354.0,,,Open
35,Buy Transport Corporation of India; target of Rs 880 : Motilal Oswal ,2022-04-06 13:44:00,Motilal Oswal,Transport Corporation of India,TCI,880.0,Buy,2022-04-06,627.0,,,Open
36,Buy Tata Power Company: target of Rs 315: Sharekhan ,2022-04-06 13:30:00,Sharekhan,Tata Power Company,TATAPOWER,315.0,Buy,2022-04-06,275.95,,,Open
37,Buy HDFC Bank; target of Rs 1960: Choice Equity Broking ,2022-04-05 17:39:00,Choice Equity Broking,HDFC Bank,HDFCBANK,1960.0,Buy,2022-04-06,1587.7,,,Open
38,Buy HDFC Bank; target of Rs 2050: Emkay Global Financial ,2022-04-05 15:38:00,Emkay Global Financial,HDFC Bank,HDFCBANK,2050.0,Buy,2022-04-06,1587.7,,,Open
39,Buy Atul Auto; target of Rs 210: ICICI Direct ,2022-04-05 15:31:00,ICICI Direct,Atul Auto,ATULAUTO,210.0,Buy,2022-04-06,176.0,,,Open
40,Buy HDFC Bank; target of Rs 2000: Prabhudas Lilladher ,2022-04-05 12:13:00,Prabhudas Lilladher,HDFC Bank,HDFCBANK,2000.0,Buy,2022-04-05,1666.7,2022-04-08,1500.03,Complete
41,Buy Asian Paints: target of Rs 3689: Sharekhan ,2022-04-05 11:40:00,Sharekhan,Asian Paints,ASIANPAINT,3689.0,Buy,2022-04-05,3110.0,,,Open
42,Buy Maheshwari logistics; target of Rs 250: Equity99 ,2022-04-05 11:33:00,Equity99,Maheshwari logistics,MAHESHWARI,250.0,Buy,2022-04-05,101.7,,,Open
43,Buy Mastek: target of Rs 3840: Sharekhan ,2022-04-04 20:00:00,Sharekhan,Mastek,MASTEK,3840.0,Buy,2022-04-05,3370.0,,,Open
44,Buy Hindustan Unilever: target of Rs 2456: Sharekhan ,2022-04-04 20:00:00,Sharekhan,Hindustan Unilever,HINDUNILVR,2456.0,Buy,2022-04-05,2144.5,,,Open
45,Accumulate HDFC Bank; target of Rs 1910: Arihant Capital ,2022-04-04 17:25:00,Arihant Capital,HDFC Bank,HDFCBANK,1910.0,Accumulate,2022-04-05,1666.7,2022-04-08,1500.03,Complete
46,Buy NCL Industries; target of Rs 264: Anand Rathi ,2022-04-04 11:00:00,Anand Rathi,NCL Industries,NCLIND,264.0,Buy,2022-04-04,189.5,,,Open
47,Buy Zydus Wellness: target of Rs 2250: ICICI Securities ,2022-04-04 10:53:00,ICICI Securities,Zydus Wellness,ZYDUSWELL,2250.0,Buy,2022-04-04,1575.85,,,Open
48,Hold Bajaj Auto: target of Rs 3575: ICICI Securities ,2022-04-01 17:09:00,ICICI Securities,Bajaj Auto,BAJAJ-AUTO,3575.0,Hold,,,,,Not Attempted
49,Buy CreditAccess Grameen: target of Rs 1200: ICICI Securities ,2022-04-01 14:03:00,ICICI Securities,CreditAccess Grameen,CREDITACC,1200.0,Buy,2022-04-01,847.8,,,Open
50,Buy Indian Bank; target of Rs 188: YES Securities ,2022-04-01 13:33:00,YES Securities,Indian Bank,INDIANB,188.0,Buy,2022-04-01,155.2,,,Open
51,Buy Cipla: target of Rs 1150: Sharekhan ,2022-04-01 12:14:00,Sharekhan,Cipla,CIPLA,1150.0,Buy,2022-04-01,1023.0,,,Open
52,Buy Axis Bank: target of Rs 940: Sharekhan ,2022-04-01 12:09:00,Sharekhan,Axis Bank,AXISBANK,940.0,Buy,2022-04-01,760.0,,,Open
53,Buy Oberoi Realty; target of Rs 1200 : Motilal Oswal ,2022-04-01 12:01:00,Motilal Oswal,Oberoi Realty,OBEROIRLTY,1200.0,Buy,2022-04-01,948.0,,,Open
54,Buy Axis Bank; target of Rs 950: HDFC Securities ,2022-03-31 18:13:00,HDFC Securities,Axis Bank,AXISBANK,950.0,Buy,2022-04-01,760.0,,,Open
55,Buy Lumax Industries: target of Rs 1178: CD Equisearch ,2022-03-31 18:00:00,CD Equisearch,Lumax Industries,LUMAXIND,1178.0,Buy,2022-04-01,891.65,,,Open
56,Buy Hindalco Industries: target of Rs 700: ICICI Securities ,2022-03-31 17:40:00,ICICI Securities,Hindalco Industries,HINDALCO,700.0,Buy,2022-04-01,569.9,,,Open
57,Buy Axis Bank: target of Rs 1050: ICICI Securities ,2022-03-31 14:56:00,ICICI Securities,Axis Bank,AXISBANK,1050.0,Buy,2022-03-31,763.0,,,Open
58,Buy Axis Bank; target of Rs 942: Arihant Capital ,2022-03-31 14:18:00,Arihant Capital,Axis Bank,AXISBANK,942.0,Buy,2022-03-31,763.0,,,Open
59,Buy Axis Bank; target of Rs 1060: YES Securities ,2022-03-31 14:11:00,YES Securities,Axis Bank,AXISBANK,1060.0,Buy,2022-03-31,763.0,,,Open
60,Buy AXIS Bank; target of Rs 1020: Emkay Global Financial ,2022-03-31 14:04:00,Emkay Global Financial,AXIS Bank,AXISBANK,1020.0,Buy,2022-03-31,763.0,,,Open
61,Buy Axis Bank; target of Rs 930 : Motilal Oswal ,2022-03-31 13:44:00,Motilal Oswal,Axis Bank,AXISBANK,930.0,Buy,2022-03-31,763.0,,,Open
62,Buy Hindalco; target of Rs 750 : Motilal Oswal ,2022-03-31 13:37:00,Motilal Oswal,Hindalco,HINDALCO,750.0,Buy,2022-03-31,600.0,2022-04-12,540.0,Complete
63,Buy Axis Bank; target of Rs 975: Prabhudas Lilladher ,2022-03-31 13:28:00,Prabhudas Lilladher,Axis Bank,AXISBANK,975.0,Buy,2022-03-31,763.0,,,Open
64,Hold Hindalco Industries; target of Rs 673: Prabhudas Lilladher ,2022-03-31 13:19:00,Prabhudas Lilladher,Hindalco Industries,HINDALCO,673.0,Hold,2022-03-31,600.0,2022-04-12,540.0,Complete
65,Buy Tata Consumer Products: target of Rs 960: Sharekhan ,2022-03-31 13:06:00,Sharekhan,Tata Consumer Products,TATACONSUM,960.0,Buy,2022-03-31,767.95,,,Open
66,Hold Saregama India; target of Rs 4890: ICICI Direct ,2022-03-31 12:12:00,ICICI Direct,Saregama India,SAREGAMA,4890.0,Hold,2022-03-31,4827.25,2022-04-01,4890.0,Complete
67,Buy VIP Industries; target of Rs 850: ICICI Direct ,2022-03-30 14:53:00,ICICI Direct,VIP Industries,VIPIND,850.0,Buy,2022-03-30,763.0,,,Open
68,Buy Emami; target of Rs 540 : Motilal Oswal ,2022-03-30 14:42:00,Motilal Oswal,Emami,EMAMILTD,540.0,Buy,2022-03-30,432.5,,,Open
69,Buy Restaurant Brands Asia; target of Rs 150 : Motilal Oswal ,2022-03-30 14:34:00,Motilal Oswal,Restaurant Brands Asia,RBA,150.0,Buy,,,,,Not Attempted
70,Buy Emami: target of Rs 550: Sharekhan ,2022-03-30 14:12:00,Sharekhan,Emami,EMAMILTD,550.0,Buy,2022-03-30,432.5,,,Open
71,Buy Indian Hotels Company: target of Rs 286: Sharekhan ,2022-03-30 14:05:00,Sharekhan,Indian Hotels Company,INDHOTEL,286.0,Buy,2022-03-30,242.1,,,Open
72,Buy Tata Consumer Products: target of Rs 925: ICICI Securities ,2022-03-30 12:45:00,ICICI Securities,Tata Consumer Products,TATACONSUM,925.0,Buy,2022-03-30,750.0,,,Open
73,Accumulate Indo Count Industries; target of Rs 175: Arihant Capital ,2022-03-30 12:36:00,Arihant Capital,Indo Count Industries,ICIL,175.0,Accumulate,2022-03-30,122.3,,,Open
74,Buy ICICI Lombard General Insurance; target of Rs 1550: ICICI Direct ,2022-03-29 21:01:00,ICICI Direct,ICICI Lombard General Insurance,ICICIGI,1550.0,Buy,2022-03-30,1275.85,,,Open
75,Buy State Bank of India: target of Rs 650: Sharekhan ,2022-03-29 20:03:00,Sharekhan,State Bank of India,SBIN,650.0,Buy,2022-03-30,499.3,,,Open
76,Buy Rossari Biotech; target of Rs 1456: KR Choksey ,2022-03-29 15:01:00,KR Choksey,Rossari Biotech,ROSSARI,1456.0,Buy,2022-03-29,920.0,,,Open
77,Buy Bharti Airtel : target of Rs 850: ICICI Securities ,2022-03-29 14:49:00,ICICI Securities,Bharti Airtel,BHARTIARTL,850.0,Buy,2022-03-29,740.4,,,Open
78,Buy SRF; target of Rs 3065: ICICI Direct ,2022-03-29 14:41:00,ICICI Direct,SRF,SRF,3065.0,Buy,2022-03-29,2607.2,,,Open
79,Buy Bharti Airtel; target of Rs 910 : Motilal Oswal ,2022-03-28 14:49:00,Motilal Oswal,Bharti Airtel,BHARTIARTL,910.0,Buy,2022-03-28,715.25,,,Open
80,Buy MOIL: target of Rs 220: Sharekhan ,2022-03-28 14:23:00,Sharekhan,MOIL,MOIL,220.0,Buy,2022-03-28,179.05,,,Open
81,Buy PNC Infratech: target of Rs 380: Sharekhan ,2022-03-28 14:18:00,Sharekhan,PNC Infratech,PNCINFRA,380.0,Buy,2022-03-28,246.7,,,Open
82,Buy Laurus Labs: target of Rs 735: Sharekhan ,2022-03-28 14:14:00,Sharekhan,Laurus Labs,LAURUSLABS,735.0,Buy,2022-03-28,594.0,,,Open
83,Accumulate Emami; target of Rs 607: Prabhudas Lilladher ,2022-03-28 13:29:00,Prabhudas Lilladher,Emami,EMAMILTD,607.0,Accumulate,2022-03-28,459.0,,,Open
84,Buy Bharti Airtel; target of Rs 860: ICICI Direct ,2022-03-28 12:08:00,ICICI Direct,Bharti Airtel,BHARTIARTL,860.0,Buy,2022-03-28,715.25,,,Open
85,Buy Container Corporation Of India; target of Rs 823: Anand Rathi ,2022-03-28 11:03:00,Anand Rathi,Container Corporation Of India,CONCOR,823.0,Buy,2022-03-28,680.1,,,Open
86,Buy Blue Star: target of Rs 1200: Sharekhan ,2022-03-25 17:45:00,Sharekhan,Blue Star,BLUESTARCO,1200.0,Buy,2022-03-28,1005.0,,,Open
87,Buy Coforge: target of Rs 5450: Sharekhan ,2022-03-25 17:40:00,Sharekhan,Coforge,COFORGE,5450.0,Buy,2022-03-28,4430.0,,,Open
88,Buy VRL Logistics; target of Rs 690 : Motilal Oswal ,2022-03-25 17:33:00,Motilal Oswal,VRL Logistics,VRLLOG,690.0,Buy,2022-03-28,461.65,,,Open
89,Buy State Bank of India; target of Rs 675 : Motilal Oswal ,2022-03-25 17:21:00,Motilal Oswal,State Bank of India,SBIN,675.0,Buy,2022-03-28,490.95,,,Open
90,Buy Star Health; target of Rs 1040: Emkay Global Financial ,2022-03-25 14:40:00,Emkay Global Financial,Star Health,STARHEALTH,1040.0,Buy,2022-03-25,707.3,,,Open
91,Buy Jindal Steel and Power; target of Rs 605 : Motilal Oswal ,2022-03-24 17:15:00,Motilal Oswal,Jindal Steel and Power,JINDALSTEL,605.0,Buy,2022-03-25,527.7,,,Open
92,Buy Can Fin Homes; target of Rs 754: CD Equisearch ,2022-03-24 17:00:00,CD Equisearch,Can Fin Homes,CANFINHOME,754.0,Buy,2022-03-25,605.05,,,Open
93,Buy Vardhman Textiles; target of Rs 625: ICICI Direct ,2022-03-24 14:39:00,ICICI Direct,Vardhman Textiles,VTL,625.0,Buy,2022-03-24,538.7,2022-03-29,484.83,Complete
94,Buy State Bank of India; target of Rs 680: Emkay Global Financial ,2022-03-24 13:47:00,Emkay Global Financial,State Bank of India,SBIN,680.0,Buy,2022-03-24,485.0,,,Open
95,Buy Dhampur Sugar Mills: target of Rs 692: Sharekhan ,2022-03-24 13:40:00,Sharekhan,Dhampur Sugar Mills,DHAMPURSUG,692.0,Buy,2022-03-24,536.0,,,Open
96,Buy Mahindra Logistics: target of Rs 580: Sharekhan ,2022-03-23 19:56:00,Sharekhan,Mahindra Logistics,MAHLOG,580.0,Buy,2022-03-24,441.7,,,Open
97,Buy APL Apollo Tubes: target of Rs 1100: Sharekhan ,2022-03-23 18:08:00,Sharekhan,APL Apollo Tubes,APLAPOLLO,1100.0,Buy,2022-03-24,911.95,,,Open
98,Buy CESC; target of Rs 101: Emkay Global Financial ,2022-03-23 13:55:00,Emkay Global Financial,CESC,CESC,101.0,Buy,2022-03-23,76.0,,,Open
99,Buy APL Apollo Tubes : target of Rs 1110: ICICI Securities ,2022-03-22 15:47:00,ICICI Securities,APL Apollo Tubes,APLAPOLLO,1110.0,Buy,2022-03-23,946.45,,,Open
100,Buy Gravita India; target of Rs 600: Hem Securities ,2022-03-22 15:41:00,Hem Securities,Gravita India,GRAVITA,600.0,Buy,,,,,Not Attempted
101,Buy Hindustan Unilever; target of Rs 2356: Prabhudas Lilladher ,2022-03-22 15:26:00,Prabhudas Lilladher,Hindustan Unilever,HINDUNILVR,2356.0,Buy,2022-03-22,2053.75,,,Open
102,Buy Equitas Small Finance Bank; target of Rs 80: Emkay Global Financial ,2022-03-22 11:58:00,Emkay Global Financial,Equitas Small Finance Bank,EQUITASBNK,80.0,Buy,,,,,Not Attempted
103,Buy Birlasoft: target of Rs 580: Sharekhan ,2022-03-21 16:51:00,Sharekhan,Birlasoft,BSOFT,580.0,Buy,2022-03-22,443.8,,,Open
104,Buy ICICI Bank: target of Rs 970: Sharekhan ,2022-03-21 16:47:00,Sharekhan,ICICI Bank,ICICIBANK,970.0,Buy,2022-03-22,708.65,,,Open
105,Buy Sobha : target of Rs 902: ICICI Securities ,2022-03-21 16:41:00,ICICI Securities,Sobha,SOBHA,902.0,Buy,2022-03-22,750.0,,,Open
106,Buy Dodla Dairy : target of Rs 615: ICICI Securities ,2022-03-21 16:37:00,ICICI Securities,Dodla Dairy,DODLA,615.0,Buy,2022-03-22,530.0,2022-03-28,477.0,Complete
107,Buy Varun Beverages; target of Rs 1150: Emkay Global Financial ,2022-03-21 15:30:00,Emkay Global Financial,Varun Beverages,VBL,1150.0,Buy,2022-03-22,948.0,,,Open
108,Buy Bharat Forge; target of Rs 840: Emkay Global Financial ,2022-03-21 15:23:00,Emkay Global Financial,Bharat Forge,BHARATFORG,840.0,Buy,2022-03-21,684.0,,,Open
109,Accumulate Ashok Leyland; target of Rs 127: Geojit ,2022-03-21 14:16:00,Geojit,Ashok Leyland,ASHOKLEY,127.0,Accumulate,2022-03-21,115.25,2022-04-07,127.0,Complete
110,Buy Shyam Metalics and Energy: target of Rs 400: ICICI Securities ,2022-03-17 12:53:00,ICICI Securities,Shyam Metalics and Energy,SHYAMMETL,400.0,Buy,2022-03-17,328.0,,,Open
111,Buy AU Small Finance Bank : target of Rs 1370: ICICI Securities ,2022-03-17 12:45:00,ICICI Securities,AU Small Finance Bank,AUBANK,1370.0,Buy,2022-03-17,1200.0,2022-04-07,1370.0,Complete
112,Buy Prince Pipes and Fittings : target of Rs 804: ICICI Securities ,2022-03-17 12:38:00,ICICI Securities,Prince Pipes and Fittings,PRINCEPIPE,804.0,Buy,2022-03-17,665.95,,,Open
113,Buy UPL: target of Rs 930: Sharekhan ,2022-03-17 12:23:00,Sharekhan,UPL,UPL,930.0,Buy,2022-03-17,759.0,,,Open
114,Buy Godrej Agrovet; target of Rs 692 : Motilal Oswal ,2022-03-17 11:17:00,Motilal Oswal,Godrej Agrovet,GODREJAGRO,692.0,Buy,2022-03-17,479.85,,,Open
115,Buy Star Health; target of Rs 750 : Motilal Oswal ,2022-03-17 11:10:00,Motilal Oswal,Star Health,STARHEALTH,750.0,Buy,2022-03-17,612.5,2022-04-05,750.0,Complete
116,Buy Persistent Systems; target of Rs 4600: Emkay Global Financial ,2022-03-16 13:47:00,Emkay Global Financial,Persistent Systems,PERSISTENT,4600.0,Buy,2022-03-16,4400.0,2022-03-21,4600.0,Complete
117,Buy Persistent Systems: target of Rs 5550: Sharekhan ,2022-03-16 09:19:00,Sharekhan,Persistent Systems,PERSISTENT,5550.0,Buy,2022-03-16,4400.0,,,Open
118,Buy Endurance Technologies; target of Rs 1342: Hem Securities ,2022-03-15 17:04:00,Hem Securities,Endurance Technologies,ENDURANCE,1342.0,Buy,2022-03-16,1225.0,2022-03-29,1102.5,Complete
119,Buy KPIT technology; target of Rs 680: Geojit ,2022-03-15 16:51:00,Geojit,KPIT technology,KPITTECH,680.0,Buy,2022-03-16,571.9,,,Open
120,Hold Jubilant Foodworks: target of Rs 2770: Sharekhan ,2022-03-15 15:34:00,Sharekhan,Jubilant Foodworks,JUBLFOOD,2770.0,Hold,2022-03-16,2559.1,2022-04-04,2770.0,Complete
121,Buy Bharat Electronics: target of Rs 254: Sharekhan ,2022-03-15 15:27:00,Sharekhan,Bharat Electronics,BEL,254.0,Buy,2022-03-15,208.0,,,Open
122,Buy HDFC Bank: target of Rs 1973: Sharekhan ,2022-03-15 15:19:00,Sharekhan,HDFC Bank,HDFCBANK,1973.0,Buy,2022-03-15,1443.5,,,Open
123,Hold Mahanagar Gas; target of Rs 850 : ICICI Direct ,2022-03-15 14:48:00,ICICI Direct,Mahanagar Gas,MGL,850.0,Hold,2022-03-15,790.0,2022-04-06,850.0,Complete
124,Buy Bharat Forge; target of Rs 860 : Motilal Oswal ,2022-03-15 14:36:00,Motilal Oswal,Bharat Forge,BHARATFORG,860.0,Buy,2022-03-15,651.85,,,Open
125,Buy The Supreme Industries; target of Rs 2468: CD Equisearch ,2022-03-15 13:23:00,CD Equisearch,The Supreme Industries,INDIACEM,2468.0,Buy,,,,,Not Attempted
126,Buy Krishna Institute of Medical Sciencesg; target of Rs 1776: Khambatta Securities ,2022-03-14 17:09:00,Khambatta Securities,Krishna Institute of Medical Sciencesg,KIMS,1776.0,Buy,2022-03-15,1390.8,,,Open
127,Accumulate Tube Investments of India; target of Rs 1746: Geojit ,2022-03-14 17:02:00,Geojit,Tube Investments of India,TIINDIA,1746.0,Accumulate,2022-03-15,1566.95,2022-04-11,1746.0,Complete
128,Buy Asahi India Glass : target of Rs 553: ICICI Securities ,2022-03-14 16:50:00,ICICI Securities,Asahi India Glass,ASAHIINDIA,553.0,Buy,2022-03-15,422.65,,,Open
129,Buy JK Cement : target of Rs 3935: ICICI Securities ,2022-03-14 16:43:00,ICICI Securities,JK Cement,JKLAKSHMI,3935.0,Buy,,,,,Not Attempted
130,Buy IndusInd Bank : target of Rs 1420: ICICI Securities ,2022-03-14 16:35:00,ICICI Securities,IndusInd Bank,INDUSINDBK,1420.0,Buy,2022-03-15,916.9,,,Open
131,Buy One 97 Communications (Paytm) : target of Rs 1285: ICICI Securities ,2022-03-14 14:10:00,ICICI Securities,One 97 Communications (Paytm),ONEPOINT,1285.0,Buy,,,,,Not Attempted
132,Buy Ipca Labs; target of Rs 1200 : Motilal Oswal ,2022-03-14 13:59:00,Motilal Oswal,Ipca Labs,IPCALAB,1200.0,Buy,2022-03-14,1025.0,,,Open
133,Buy AU Small Finance Bank: target of Rs 1425: Sharekhan ,2022-03-14 13:44:00,Sharekhan,AU Small Finance Bank,AUBANK,1425.0,Buy,2022-03-14,1195.9,2022-03-14,1076.3100000000002,Complete
134,Buy Gujarat Gas; target of Rs 675: Prabhudas Lilladher ,2022-03-14 13:08:00,Prabhudas Lilladher,Gujarat Gas,GUJGASLTD,675.0,Buy,2022-03-14,513.95,,,Open
135,Buy HDFC Bank : target of Rs 1955: ICICI Securities ,2022-03-11 15:47:00,ICICI Securities,HDFC Bank,HDFCBANK,1955.0,Buy,2022-03-14,1415.0,,,Open
136,Buy Polycab India: target of Rs 3000: Sharekhan ,2022-03-11 13:05:00,Sharekhan,Polycab India,POLYCAB,3000.0,Buy,2022-03-11,2314.0,,,Open
137,Buy AU Small Finance Bank; target of Rs 1550 : Motilal Oswal ,2022-03-11 12:51:00,Motilal Oswal,AU Small Finance Bank,AUBANK,1550.0,Buy,2022-03-11,1150.0,,,Open
138,Buy Ajanta Pharma; target of Rs 2400: Ajcon Global ,2022-03-10 22:10:00,Ajcon Global,Ajanta Pharma,AJANTPHARM,2400.0,Buy,2022-03-11,1758.6,,,Open
139,Buy State Bank of India; target of Rs 595: Choice Equity Broking ,2022-03-10 22:05:00,Choice Equity Broking,State Bank of India,SBIN,595.0,Buy,2022-03-11,466.4,,,Open
140,Buy Avanti Feeds; target of Rs 535: Geojit ,2022-03-10 21:59:00,Geojit,Avanti Feeds,AVANTIFEED,535.0,Buy,2022-03-11,434.5,,,Open
141,Buy Aarti Industries; target of Rs 1038: Geojit ,2022-03-10 21:53:00,Geojit,Aarti Industries,AARTIIND,1038.0,Buy,2022-03-11,824.85,,,Open
142,Buy HDFC Bank; target of Rs 2000 : Motilal Oswal ,2022-03-10 20:57:00,Motilal Oswal,HDFC Bank,HDFCBANK,2000.0,Buy,2022-03-11,1388.0,,,Open
143,Buy NMDC; target of Rs 216 : Motilal Oswal ,2022-03-10 20:53:00,Motilal Oswal,NMDC,NMDC,216.0,Buy,2022-03-11,153.0,,,Open
144,Buy Divis Laboratories: target of Rs 5620: Sharekhan ,2022-03-10 20:39:00,Sharekhan,Divis Laboratories,DIVISLAB,5620.0,Buy,2022-03-11,4298.0,,,Open
145,Buy IndusInd Bank: target of Rs 1150: Sharekhan ,2022-03-10 20:29:00,Sharekhan,IndusInd Bank,INDUSINDBK,1150.0,Buy,2022-03-11,900.0,,,Open
146,Buy Coal India: target of Rs 225: Sharekhan ,2022-03-10 20:11:00,Sharekhan,Coal India,COALINDIA,225.0,Buy,2022-03-11,181.0,,,Open
147,Buy Greenpanel Industries: target of Rs 563: Sharekhan ,2022-03-10 20:06:00,Sharekhan,Greenpanel Industries,GREENPANEL,563.0,Buy,2022-03-11,499.95,2022-03-17,563.0,Complete
148,Buy Cholamandalam Investment and Finance Company: target of Rs 720: Sharekhan ,2022-03-08 16:33:00,Sharekhan,Cholamandalam Investment and Finance Company,CHOLAHLDNG,720.0,Buy,2022-03-09,626.0,,,Open
149,Buy Alkem; target of Rs 3870 : Motilal Oswal ,2022-03-08 16:25:00,Motilal Oswal,Alkem,ALKEM,3870.0,Buy,2022-03-09,3288.0,,,Open
